unit_id	verdict	evidence
agent/harness/session/jsonl_storage	none	B8 already matched oracle (fail-whole-load, no salvage of healthy prefix on corrupt tail); added // BUG(port): B8 doc comment at loadJsonlStorage entry-parse loop (jsonl-storage.ts) + new vitest "BUG(port) B8: fails the whole load for a healthy prefix + truncated tail line" in test/harness/storage.test.ts (passes). Wire fields (types.ts SessionTreeEntry union) already match oracle session.rs tag/field names exactly. RFC3339 timestamp format divergence found (Z+3-digit-ms via Date.toISOString() vs oracle chrono AutoSi+"+00:00", verified empirically with cargo) but is cross-cutting into session.ts/jsonl-repo.ts (owned by B2) -- reported to orchestrator, not fixed in this unit to avoid inconsistent partial fix.
agent/harness/session/session	applied	getSessionName() walked only the last session_info entry; oracle (session.rs:418-432) walks entries newest-first skipping blank/whitespace names -- fixed to match; new test in session.test.ts asserts fallback to an earlier name. appendCompaction/moveTo passed raw boolean fromHook through (JSON.stringify keeps an explicit false key); oracle (session.rs:502,584) is Some(true)/None only -- normalized to `fromHook ? true : undefined`; new test asserts true stays true and false becomes undefined on both compaction and branch_summary entries. Confirmed fork()/InMemorySessionRepo.fork() has no oracle call site (grep: ForkOptions/get_entries_to_fork in repo_utils.rs, owned by B1, is exported from crates/agent/src/lib.rs but never wired into JsonlSessionRepo/MemorySessionRepo or any CLI path) -- base's fork() is an additive, harmless, interface-mandated (types.ts SessionRepo<T,...>, out of scope) capability, not a divergence to remove. RFC3339 timestamp gap flagged by B1's jsonl_storage ledger row (Z+ms vs chrono +00:00 ns) verified inert: parity/lib/normalize.mjs's <TS> regex matches both the Z suffix and +/-HH:MM offset suffix, normalizing both sides identically -- no fix needed, closes B1's flagged concern. Entry tag/field wire shapes in types.ts already match session.rs's SessionTreeEntry enum exactly, including null-vs-omitted-on-None per field (spot-checked all 10 variants). Tests: 2 new it() blocks in test/harness/session.test.ts, run against both InMemory and Jsonl backends via runSessionSuite; all 24 tests in the file pass. tsgo 0 errors.
agent/harness/session/jsonl_repo	applied	File naming: oracle (jsonl_repo.rs:28-34) names files `<uuidv7>.jsonl` only ("keep directory listings chronologically sorted"); base prefixed a mangled ISO timestamp (`<ts>_<id>.jsonl`) -- removed the prefix plus the now-dead createdAt/createTimestamp plumbing in create()/fork(); matches oracle and the parity oracle capture (sessions/<hash>/<UUID>.jsonl, no extra prefix). Sort order: oracle's list() (jsonl_repo.rs:55-71) sorts ascending by filename (uuidv7 = time-ordered); coding-agent/session/mod.rs doc comments confirm "ascending...tail is newest" / "oldest -> newest", feeding --list-sessions and --resume-with-no-id "most recent" selection; base sorted descending (newest-first) -- flipped to ascending by createdAt. cwd-hash bucketing (sha256(cwd)[:6 bytes]) lives entirely in crates/coding-agent/src/config.rs::cwd_hash/sessions_dir_for_cwd (grep-confirmed zero hits in my 4 oracle files) -- oracle's JsonlSessionRepo::root is always a single pre-hashed cwd bucket handed in by the caller (create(cwd) only records cwd in metadata, never derives a subdirectory from it). Base's jsonl-repo.ts instead does its own non-hash encodeCwd() slug bucketing internally, driven by base's own multi-cwd/fork/explicit-id-capable SessionRepo interface (types.ts, out of scope) -- this is an architecture difference, not a testable behavior divergence in my 4 oracle files (jsonl_repo.rs has zero unit tests); flagged forward for whoever ports coding-agent/session/mod (-> packages/coding-agent/src/core/session-manager.ts), since that unit must reconcile sha256 hash-bucket routing against this encodeCwd design (likely: pass one pre-hashed bucket dir per repo instance, bypassing encodeCwd, or accept the divergent on-disk layout). Tests: 2 new it() blocks in test/harness/repo.test.ts (filename shape, ascending list order); all 5 tests in repo.test.ts pass. tsgo 0 errors.
agent/harness/session/memory_repo	none	Oracle memory_repo.rs has zero unit tests; its Vec<Session>+Mutex create/count/list/delete_by_id shape is behaviorally equivalent to base's Map<id,Session>-backed create/open/list/delete/fork (delete_by_id's drain-and-filter-by-metadata-id loop == Map.delete(id) since ids are unique keys either way). Differences (sync vs async, Vec<Session> vs SessionMetadata[] return shape, no count() in base) are dictated by the shared SessionRepo<TMetadata,...> interface (types.ts, out of scope), not pie-specific behavior to overlay. count() intentionally not ported: oracle-only convenience getter with no call site found anywhere in pie (grep) and no pinning test -- adding it would be untested scope creep against RULEBOOK's "only change divergence points" discipline. fork() present in base / absent from oracle is the same non-divergence noted on the session unit (get_entries_to_fork defined in repo_utils.rs but never wired to any oracle repo or CLI path). No code changes; no new tests needed (no behavior gap found). tsgo 0 errors (file unmodified).
agent/harness/session/mod	none	Oracle mod.rs is pure module-declaration glue (9 lines: 7x `pub mod X;`, zero logic). RULEBOOK §4: TS barrel (index.ts) only created when base already has one or multiple files need aggregated export; forbidden otherwise ("never create one for a single filebarrel"). Grep-confirmed: packages/agent/src/harness/session/ has no existing index.ts, and zero call sites anywhere in the repo import this directory as a barrel (no `from ".../session"` without an explicit filename) -- every consumer (agent-harness.ts, compaction.ts, coding-agent/**, all session test files) imports directly from the specific session/*.ts file it needs. No aggregation need exists; no index.ts created, per explicit instruction to record `none` with explanation in this case. No code changes.
agent/harness/trigger	port	Full port of trigger.rs's type surface: Trigger/TriggerSource/TriggerAuthority/TriggerRecord kept wire-exact snake_case (source_kind, payload_summary, idempotency_key, replacement_policy, trace_id, received_at); TriggerSource tagged on `kind` (mcp/local/agent_delegate) per serde(tag="kind",rename_all="snake_case") trigger.rs:73; CredentialScope kept PascalCase values (User/Project/Team/Agent/None) per serde(rename_all="PascalCase") trigger.rs:169. Deliberate asymmetry preserved: Trigger.payload_summary has no skip_serializing_if (trigger.rs:40-41) -> modeled `string | null`, always present/null-on-wire; TriggerRecord.payload_summary DOES have skip_serializing_if (trigger.rs:245-246) -> modeled `string | undefined`, omitted-on-wire; triggerRecordReceivedFrom bridges via `?? undefined`. Added typebox Trigger schema + decodeTrigger() (Type.Object+Compile, cron.ts CronJobSchema precedent) solely to port the one behavior-enforcing oracle test (missing replacement_policy must throw, trigger.rs:449-462) -- serde has no #[serde(default)] on that field so a missing key is a hard deserialize error, unlike every Option<T> field in the module. isTriggerStateTerminal() ports TriggerState::is_terminal's exact terminal set. Tests: 14 in trigger.test.ts (11 ported 1:1 from trigger.rs's #[cfg(test)] mod + 3 new decode-default-handling cases for allowed_source_actions/payload_summary); tsgo 0 errors.
agent/harness/trigger_runtime	port	Full port of the dedup-window + cycle-suppression engine (pure logic, no IO). Mutex mapping decision (RULEBOOK §2.2): oracle's Arc<parking_lot::Mutex<Inner>> (trigger_runtime.rs:80) guards evaluate()/record_follow_up_hop(), neither of which crosses an .await -> held state as plain private fields (Map-backed), NOT behind the new AsyncMutex util; pinned by an explicit "evaluate() and recordFollowUpHop() are synchronous end-to-end" test plus a 50-key synchronous-burst test proving no dedup corruption (inventory.tsv tags this exact site "await-in-critical-section test"). BUG(port) B9 (RULEBOOK §5, trigger_runtime.rs:387-394 + evaluate()'s dedup branch 200-207) reproduced bug-for-bug: LatestReplaces never actually replaces the stored dedup entry -- the branch only reads back the first arrival's {replacementPolicy,traceId}; two dedicated tests assert previousTraceId stays pinned to the FIRST trace across repeated LatestReplaces duplicates, and that LatestReplaces/Drop produce identical outcomes+entry-counts within the window. Process-local-only state (RULEBOOK §5 footer, "dedup/cycle state lives in the process only") asserted via a fresh-instance-has-no-memory-of-prior-instance test. Tests: 15 in trigger-runtime.test.ts (9 ported 1:1 from trigger_runtime.rs's #[cfg(test)] mod, 2 B9-specific, 2 Mutex-judgment, 1 process-local-state, 1 config-defaults sanity); tsgo 0 errors.
agent/harness/notification_hook	port	Full port of the NotificationHook trait + status surface ("types and trait only" per oracle's own status note). Wire-exact per task's explicit callout: NotificationHookStatus kept snake_case (last_event_at, queued_count, dropped_count, deduped_count, subscription_labels, requires_attention); HookState tagged on `kind` (connected/reconnecting/disconnected+reason/disabled/auth_failed+reason) per serde(tag="kind",rename_all="snake_case") notification_hook.rs:158 -- verified against a prior phase-5 cron unit that shipped a wrong `type` tag caught only in review. mpsc::UnboundedSender<Trigger> (notification_hook.rs:30) mapped to TriggerSink = Pick<AsyncQueue<Trigger>,"push"> (RULEBOOK §2.2 AsyncQueue canonical util, birthed this batch in async-queue.ts, also exports Signal for tokio::sync::Notify per the same rulebook row); push() returns boolean mirroring Result<(),SendError> instead of silently dropping post-close pushes. HookError (thiserror enum, 6 variants) ported to an Error subclass with `code` field (RULEBOOK §2.4 thiserror->Error+code) and static factories reproducing each Display string verbatim (auth failed:/protocol mismatch:/disconnected:/schema invalid:/sink closed/hook error:). Tests: 7 in notification-hook.test.ts (6 covering all 4 of notification_hook.rs's #[cfg(test)] functions -- pending-status, HookState round-trip, HookState kind-tag, HookError message/code/instanceof -- + 1 new wiring test proving AsyncQueue<Trigger> is structurally a valid TriggerSink end-to-end through a mock NotificationHook.run()); tsgo 0 errors.
agent/harness/permission	port	Full port of the stateless bash-danger classifier. PermissionPolicy.evaluate/evaluateWithCategory ported verbatim (controlPlaneWrite category always Allow, permissive-by-default per permission.rs:116-120); extractShellCommand tries command/cmd/bash/script keys then falls back to a bare string arg, matching permission.rs:181-196 field-probe order. Danger corpus: all 9 default_danger_patterns() regex entries + both rm predicate rules (recursive+force on absolute path, recursive+force on $HOME/~) ported with matching regex sources (String.raw literals) and identical rm-flag-permutation/quote-stripping/${HOME}-rewrite/shell-clause-splitting logic (rmDangerousWith/normalizeOperand/stripOneLayerOfQuotes/rewriteBraceHome/splitShellClauses, permission.rs:256-379). Wired to the pi skeleton's existing BeforeToolCallContext/BeforeToolCallResult (types.ts) via asBeforeToolCall() -- no `prompt` field on either side (pi's BeforeToolCallResult has none either), so nothing lost vs oracle's ready-for-Prompt shape. RegexSet::new(...).expect("danger patterns must compile") (permission.rs:89, allocation-guard) ported as an eager throw in the constructor, not a Result. Tests: 10 in permission.test.ts (4 ported 1:1 from permission.rs's #[cfg(test)] mod, including the FULL 33-entry danger corpus copied verbatim from denies_known_dangerous_patterns for line-by-line blacklist parity + 6 new cases: category handling x2, empty/unparseable-args handling x2, asBeforeToolCall wiring x2); tsgo 0 errors.
agent/harness/session/memory_storage	applied	setLeafId (memory_storage.rs:64-67) is a bare field assignment in oracle -- no `leaf` entry appended and no existence validation, unlike base which mimicked JsonlSessionStorage's append-only leaf-marker+validation pattern; getLeafId (60-62) likewise drops the invalid_session validation-on-read. appendEntry (73-78) always sets leafId=entry.id (oracle has no leaf-type special case here, unlike jsonl-storage.ts leafIdAfterEntry); this only matters for a leaf-typed entry appended directly (not via setLeafId), which no call site in the repo currently does. getPathToRoot (88-117) gained cycle detection (Set-based, throws invalid_session "cycle in parent chain at {id}") plus uniform "parent {id} not found" messaging for both missing-start and missing-ancestor cases -- base previously had zero cycle guard (real infinite-loop risk on a corrupted parent chain) and used two different codes/messages. Mirrors the identical cycle-detection fix already shipped in jsonl-storage.ts getPathToRoot (jsonl_storage.rs:207-236, prior batch) verbatim including message text. NOT changed: constructor's entries-prefill + leafIdAfterEntry-derived initial leafId + invalid_session throw-on-construct -- oracle's MemorySessionStorage::new()/with_metadata() take no entries at all (always start empty), so this is a base-only additive convenience (same precedent as fork() in the prior session-unit ledger row), left untouched. Also NOT changed: getLabel/updateLabelCache's trim()+cache-map approach vs oracle's scan-every-call -- jsonl-storage.ts (out of scope, prior batch, "none"/"applied") uses the identical trim+cache helper against its own oracle (jsonl_storage.rs get_label also scans-per-call, no trim), so this is a pre-existing, already-accepted judgment call I did not re-litigate for consistency between the two SessionStorage backends. Cross-cutting finding NOT fixed here (flagged forward): oracle SessionErrorCode enum (types.rs:359-365: NotFound/AlreadyExists/Corrupted/StorageFailure/Aborted/Unknown) has zero overlap with base SessionErrorCode union (types.ts:187-193: not_found/invalid_session/invalid_entry/invalid_fork_target/storage/unknown) beyond not_found/unknown -- getPathToRoot's cycle/not-found throws above use the closest existing base code ("invalid_session") since types.ts is out of scope for my 4 units; whoever ports/owns types.rs SessionErrorCode should reconcile the full taxonomy. Tests: storage.test.ts rewrote 2 existing InMemorySessionStorage tests (leaf-entry assertion removed; "rejects invalid leaf ids" flipped to "allows...") and added 3 new tests (appendEntry leaf-id-is-own-id, getPathToRoot cycle detection); all 18 tests in storage.test.ts pass, all 279 tests in the package pass. tsgo 0 errors.
