phase	date	units	notes
1	2026-08-03	bootstrap	vendor+rename+hermetic-fixes; tests 2203 pass/0 fail
2	2026-08-03	203-units	depmap+manifest+capability-map; dual review: 1 confirmed fix, ai-port rework done
3	2026-08-03	rulebook+inventory	RULEBOOK 144 lines, 11 BUG entries; inventory 1373 sites
4	2026-08-03	judge	S1-S8 + fixture server + self-check(2 rounds, 3/3 mutations)
5	2026-08-03	pilot-2-units	impl x2 + review x4 + fix x3(rounds); probe-parity green; 5 RULEBOOK amendments
6	2026-08-03	9-units	@pie/mcp package; 18 review findings closed; 38 tests
7	2026-08-03	66-units	ai package: 24 applied/37 none/5 absorbed; 21 review findings; 6 explained divergences; catalog aligned 32-938
8	2026-08-03	41-units	agent core: trigger trio + 4 concurrency utils + agent_harness(3438L) + session + compaction; 30 findings; B4/B8/B9 reproduced
9	2026-08-04	20-units	coding-agent tools; 2 global divergences fixed (user dir root, skill override); typebox StaticUnion collapse found+fixed in src
10	2026-08-04	4-units	triggers/dynamic+mcp-hook+inbox+barrel; FF3 cron-deps switchover (camelCase->snake_case wire); deprecated PromoteAction variant restored (phase-8 dead-code call reversed)
11	2026-08-04	5-units	goal(40k truncation, 8x continuation cap, tool-less evaluator) + continuation family backfill(B4 at turn boundary) + hooks opt-in gate + builtin skills
12	2026-08-04	10-units	session, config, auth and loaders; the unguarded MCP spawn of B5 reproduced, B8 landed on the real product path, FF4 and FF5 closed; the auth env-versus-stored precedence and the on-disk format recorded as ED13 and ED14 (not observable by the judge, and upstream is the weaker of the two because its OAuth is dead code); ED14 carried into the phase 19 upgrade import
13	2026-08-04	33-units	CLI assembly; the reachability audit found every pie addition to be an orphan module (a relative path pointed at core/tools/index.ts rather than src/tools/index.ts); once wired, B5, B6, B7, B9, B10, B11 and B13 all moved onto reachable paths, and the permission gate existed in the product for the first time; parity S1 byte-identical on both sides, a first for the project; six real defects fixed on the TypeScript side, including a credential leak in /login; three manifest queue errors corrected; B14 and ED18/ED19 added
14	2026-08-04	4-units	TUI port; all 62 skips carried over from phase 13 cleared (41 commands dispatch, 19 tui_render, 2 spinner); a fourth manifest queue error found (the tui classification and path, dangerous in the same way as spinner); B15, B16 and B17 added; a load-sensitive flake in the dynamic-trigger end-to-end test fixed
