unit_id	src_path	base_path	out_path	classification	phase	status	rationale
agent/examples/debug_jsonl	crates/agent/examples/debug_jsonl.rs	-	-	excluded	0	pending	example/debug scaffolding; not product behavior (recorded exclusion)
ai/examples/anthropic_hello	crates/ai/examples/anthropic_hello.rs	-	-	excluded	0	pending	example/debug scaffolding; not product behavior (recorded exclusion)
ai/examples/count_models	crates/ai/examples/count_models.rs	-	-	excluded	0	pending	example/debug scaffolding; not product behavior (recorded exclusion)
ai/examples/gpt55_hello	crates/ai/examples/gpt55_hello.rs	-	-	excluded	0	pending	example/debug scaffolding; not product behavior (recorded exclusion)
coding-agent/tests-untracked/zz_audit_repro	crates/coding-agent/tests/zz_audit_repro.rs	-	-	excluded	0	pending	untracked local audit probe in oracle checkout (not part of pie@0a120dfd)
mcp/client	crates/mcp/src/client.rs	-	packages/mcp/src/client.ts	port	6	done	no pi counterpart found (name+curated search)
mcp/errors	crates/mcp/src/errors.rs	-	packages/mcp/src/errors.ts	port	6	done	no pi counterpart found (name+curated search)
mcp/http	crates/mcp/src/http.rs	-	packages/mcp/src/http.ts	port	6	done	no pi counterpart found (name+curated search)
mcp/lib	crates/mcp/src/lib.rs	-	packages/mcp/src/index.ts	port	6	done	no pi counterpart found (name+curated search)
mcp/protocol	crates/mcp/src/protocol.rs	-	packages/mcp/src/protocol.ts	port	6	done	no pi counterpart found (name+curated search)
mcp/stdio	crates/mcp/src/stdio.rs	-	packages/mcp/src/stdio.ts	port	6	done	no pi counterpart found (name+curated search)
mcp/tests/client_fixture	crates/mcp/tests/client_fixture.rs	-	packages/mcp/test/ported/client-fixture.test.ts	char-tests	6	done	Rust integration tests -> vitest characterization tests
mcp/tests/http_fixture	crates/mcp/tests/http_fixture.rs	-	packages/mcp/test/ported/http-fixture.test.ts	char-tests	6	done	Rust integration tests -> vitest characterization tests
mcp/transport	crates/mcp/src/transport.rs	-	packages/mcp/src/transport.ts	port	6	done	no pi counterpart found (name+curated search)
ai/api_registry	crates/ai/src/api_registry.rs	packages/ai/src/api-registry.ts	packages/ai/src/api-registry.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/bedrock_anthropic	crates/ai/src/bedrock_anthropic.rs	packages/ai/src/providers/amazon-bedrock.ts	packages/ai/src/providers/amazon-bedrock.ts	diff-port	7	done	capability lives inside pi SDK-consuming bedrock provider; RULEBOOK §1 decides SDK-adopt vs hand-rolled port | consolidated:packages/ai/src/providers/amazon-bedrock.ts — two upstream units deliberately land in the same TypeScript file, so completion must not be counted twice for it (audit 2026-08-05  noted in the audit).
ai/bedrock_provider	crates/ai/src/bedrock_provider.rs	packages/ai/src/bedrock-provider.ts	packages/ai/src/bedrock-provider.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/cli	crates/ai/src/cli.rs	packages/ai/src/cli.ts	packages/ai/src/cli.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/env_api_keys	crates/ai/src/env_api_keys.rs	packages/ai/src/env-api-keys.ts	packages/ai/src/env-api-keys.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/event_stream	crates/ai/src/event_stream.rs	-	packages/ai/src/utils/event-stream.ts	port	7	done	header self-declares no 1:1 TS counterpart (TS side uses AWS SDK / eventsource-parser); RULEBOOK §1 decides adopt-vs-port | audit-fix-1: out_path said packages/ai/src/event-stream.ts, missing the utils/ segment; the file has been under utils/ all along. A plain typo. | consolidated:packages/ai/src/utils/event-stream.ts — two upstream units deliberately land in the same TypeScript file, so completion must not be counted twice for it (audit 2026-08-05 noted in the audit).
ai/image_models	crates/ai/src/image_models.rs	packages/ai/src/image-models.ts	packages/ai/src/image-models.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
