unit_id	verdict	evidence
ai/providers/amazon_bedrock	applied	oracle providers/amazon_bedrock.rs is the live registered Bedrock provider (register_builtins.rs:67-71); its own header self-documents as "Partial 1:1 port of packages/ai/src/providers/amazon-bedrock.ts (~950 LOC)" with explicit TODOs (SigV4 signing, prompt caching, thinking budget/display modes, image blocks in tool results) — those gaps are treated as unfinished catch-up work, NOT divergences, and base's richer behavior is kept unchanged for them (verified safe: bedrock-thinking-payload.test.ts locks in the additionalModelRequestFields logic pie doesn't have; stripping would regress it). Applied 2 genuine positive divergences where pie DOES implement the behavior differently for cases both sides handle: (1) usage.totalTokens (update_usage, oracle:348-360) recomputes input+output+cacheRead+cacheWrite instead of trusting AWS's TokenUsage.totalTokens (input+output only per SDK docstring) -> double-counts cache tokens, same bug shape as B1/B2; (2) update_usage never touches Usage.cost (matches existing RULEBOOK B3a "ai provider  layer does not compute  usage.cost", independently re-confirmed: no provider/*.rs in oracle calls a cost-calc helper) -> removed calculateCost() call + now-unused import from amazon-bedrock.ts. Also applied a narrow slice of map_stop_reason (oracle:339-346): unrecognized stop reasons fall through to Stop not error (oracle's whole match is a small deliberate function with an explicit `_ => Stop` arm, not a TODO stub) — kept TS's extra MODEL_CONTEXT_WINDOW_EXCEEDED->"length" arm untouched since it drives real utils/overflow.ts overflow-detection that oracle's partial port never reaches and stripping it has no RULEBOOK authorization (flagged for orchestrator, not applied). Code: packages/ai/src/providers/amazon-bedrock.ts (handleMetadata, mapStopReason). Tests: packages/ai/test/bedrock-usage-and-stop-reason.test.ts (new, 4 cases) + existing bedrock-*.test.ts (16 cases, all green, no regressions). FLAG for orchestrator: usage.totalTokens/cost divergence is B1/B2/B3a-shaped but not yet its own RULEBOOK §5 row (analogous to how B3a itself was born from a pilot-A finding) — candidate for a new B12-style entry scoped to amazon_bedrock.rs.
ai/bedrock_anthropic	none	Dead code in oracle: crates/ai/src/bedrock_anthropic.rs's Converter is only referenced by its own doc comment ("Wired downstream of crate::bedrock_provider::invoke_stream") and its own #[cfg(test)] module; grep across crates/ai/src and crates/coding-agent for `bedrock_anthropic::` (outside the file itself) returns zero hits. Never registered via register_builtins.rs (only providers::amazon_bedrock::AmazonBedrockProvider is registered under #[cfg(feature = "amazon-bedrock")]). No reachable behavior to overlay. Manifest base packages/ai/src/providers/amazon-bedrock.ts is covered by the ai/providers/amazon_bedrock verdict above.
ai/bedrock_provider	none	Dead code in oracle: crates/ai/src/bedrock_provider.rs (BedrockCreds::from_env, invoke, invoke_stream) is unreferenced outside its own tests and bedrock_anthropic.rs's doc comment; its own doc comment calls `register()` "a placeholder kept for backwards compat" and says "the streaming/non-streaming invokers above are the actual provider API" while never being called by register_builtins.rs or providers/mod.rs. Base packages/ai/src/bedrock-provider.ts is already a 6-line thin re-export shim (`{ streamBedrock, streamSimpleBedrock } from "./providers/amazon-bedrock.ts"`) matching pi's own architecture of consolidating all Bedrock logic into amazon-bedrock.ts — mirrors oracle's own de-facto abandonment of this file in favor of providers/amazon_bedrock.rs. No behavior to overlay; left unchanged.
ai/sigv4	absorbed	oracle crates/ai/src/sigv4.rs header: "Hand-rolled per <AWS SigV4 docs>; no aws-sdk dep." Only consumer is the dead bedrock_provider.rs (see ai/bedrock_provider verdict above) — NOT used by the live providers/amazon_bedrock.rs, which authenticates via Bearer token only (AWS_BEARER_TOKEN_BEDROCK) and never calls sigv4::sign. RULEBOOK §1 "AWS signing/eventstream" row: TS stays on the SDK route (@aws-sdk/client-bedrock-runtime's BedrockRuntimeClient, which performs SigV4 signing internally when credentials/profile are configured, see amazon-bedrock.ts:184 `new BedrockRuntimeClient(config)`); pie's hand-rolled signer is not moved. No behavior gap: base's SDK-driven auth already covers what sigv4.rs would provide, and covers strictly more (full credential-chain SigV4, not just the bearer-token subset the live oracle path implements).
ai/event_stream	absorbed	oracle crates/ai/src/event_stream.rs implements the AWS vnd.amazon.eventstream binary frame parser WITH CRC32 verification (parse_message/crc32); its only consumer is the dead bedrock_provider.rs::invoke_stream (see ai/bedrock_provider verdict) and bedrock_anthropic.rs's Converter (also dead, see ai/bedrock_anthropic verdict) — not used by the live providers/amazon_bedrock.rs, which instead consumes utils::aws_eventstream::AwsEventStream (see next row). RULEBOOK §1 AWS eventstream row applies: TS gets frame decoding from the AWS SDK's ConverseStreamCommand response.stream async iterator (amazon-bedrock.ts:213 `for await (const item of response.stream!)`) — the SDK handles binary eventstream framing + CRC internally. No TS counterpart needed; base already covers this via the SDK.
ai/utils/aws_eventstream	absorbed	oracle crates/ai/src/utils/aws_eventstream.rs header self-declares: "Minimal decoder for the AWS `vnd.amazon.eventstream` binary framing used by Bedrock's Converse Stream API. No 1:1 TS counterpart — the TS side gets this from the AWS SDK." This IS the transport used by the live providers/amazon_bedrock.rs (`AwsEventStream::new(resp.bytes_stream())`, providers/amazon_bedrock.rs:154) — unlike sigv4.rs/event_stream.rs above, this is reachable production code, but its behavior is purely transport framing (no CRC verification, extracts :event-type/:exception-type headers + payload from raw reqwest bytes_stream). RULEBOOK §1 decision covers it directly (oracle self-verified). Base's SDK route (ConverseStreamCommand + response.stream) parses the identical wire frames and surfaces them as typed ContentBlockDelta/ContentBlockStart/.../metadata events (amazon-bedrock.ts:213-239) — same information (event type + JSON payload) reaches the same call sites (handleContentBlockStart/Delta/Stop, handleMetadata) that oracle's :event-type-driven dispatch (providers/amazon_bedrock.rs:187-325) reaches. Behavior-face parity for what this frame carries (content block events, usage metadata) is verified via the ai/providers/amazon_bedrock unit above; the framing mechanics themselves are absorbed.
ai/utils/sse	absorbed	oracle crates/ai/src/utils/sse.rs header self-declares: "Server-Sent-Events parser. No 1:1 TS counterpart — the TS package depends on the third-party `eventsource-parser`." Confirmed not used by any unit in this batch (consumers are providers/mistral.rs, providers/google.rs, providers/openai_completions.rs, providers/anthropic.rs, providers/openai_responses.rs — all batch-A/pilot territory, not touched here). RULEBOOK §1 "SSE parsing" row decides this directly; base packages/ai already depends on eventsource-parser per RULEBOOK's own citation. No action taken (out of scope for this batch's provider files; recorded here only because the manifest assigns the absorption-verification unit itself to this batch).
ai/stream	applied	Compared stream.rs (resolve/stream/complete/stream_simple/complete_simple + get_env_api_key re-export) against stream.ts (resolveApiProvider/stream/complete/streamSimple/completeSimple + getEnvApiKey re-export). Env-key resolution and complete/completeSimple wrapper structure (`stream(...).result()`) match 1:1 — no divergence there. APPLIED divergence in "provider choice": oracle's resolve() (stream.rs:13-17) returns Result<RegisteredHandle,String>, and both stream()/stream_simple() (stream.rs:19-28,38-47) match on Err and call error_stream(msg) — never throw — for "No API provider registered for api: X". Base's resolveApiProvider previously threw synchronously. Fixed by importing the new api-registry.ts errorStream() helper (see ai/api_registry entry for the shared evidence/rationale — same oracle citation, same register-builtins.ts precedent) and returning `errorStream(...)` from both stream() and streamSimple() instead of throwing. Cascades correctly to complete()/completeSimple() (their `s.result()` now resolves to an AssistantMessage with stopReason "error" instead of the returned promise rejecting) with no further changes needed to those two functions. Event-stream protocol itself (AssistantMessageEventStream/.push/.result()) lives in utils/event-stream.ts, a separate manifest unit (ai/utils/event_stream, diff-port) not assigned to this batch — not touched, only read for context. Tests: packages/ai/test/faux-provider.test.ts's "unregisters the provider" test updated from `.rejects.toThrow(...)` to asserting the resolved AssistantMessage's stopReason/errorMessage (this was the one pre-existing test in the whole suite locking in the old throw behavior, confirmed via `grep -rn "No API provider registered" test/`).
ai/api_registry	applied	Comprehensive symbol-by-symbol audit of api_registry.rs vs api-registry.ts. register_api_provider/get_api_provider/unregister_api_providers/clear_api_providers match TS's registerApiProvider/getApiProvider/unregisterApiProviders/clearApiProviders 1:1. list_api_ids() returns Vec<String> (ids only) vs TS getApiProviders() returning the provider objects — oracle's own comment explicitly frames this as a Rust-lock-scope optimization ("we return ids to keep the lock scope tight"), not a behavioral divergence; no action. APPLIED divergence: RegisteredHandle::stream/stream_simple (oracle:110-143) return error_stream(...) on api-mismatch ("Mismatched api: X expected Y") instead of throwing — oracle's own doc comment: "same as TS `wrapStream`" and error_stream()'s comment "Per the TS contract, providers must encode failures in the returned stream rather than throw — same applies to the registry-level guard." Confirmed this is the correct, already-established base-pi idiom (register-builtins.ts's createLazyStream already pushes an error event rather than throwing for lazy-load failures) and base's wrapStream/wrapStreamSimple throwing was the outlier. Added exported errorStream() helper (packages/ai/src/api-registry.ts) matching oracle's error_stream() shape; wired into both mismatch guards. Byproduct: errorStream becomes part of @pie/ai's public surface via index.ts's `export *` (oracle's error_stream is pub(crate)-only, excluded from lib.rs's selective pub use list) — this is a TS-module-system-forced consequence (no crate-private visibility equivalent; index.ts's existing convention wildcard-exports every src file) not something to work around by duplicating the function; accepted as benign (pure factory function, no misuse surface). Tests: packages/ai/test/api-registry-error-streams.test.ts (new, 2 cases, mirrors oracle's own captured_handle_still_returns_mismatch_error_stream test which had no TS counterpart) + packages/ai/test/faux-provider.test.ts's "unregisters the provider" test updated for the stream.ts companion fix.
ai/types	none	Field-by-field audit of every wire-relevant (serde-attributed) type in types.rs against types.ts: Api/KnownApi (9/9 match), ThinkingLevel/ModelThinkingLevel/ThinkingBudgets (lowercase renames match, no xhigh budget field either side), CacheRetention/Transport (rename_all match), TextSignatureV1/TextContent/ThinkingContent/ImageContent/ToolCall/ContentBlock/UserContentBlock (all serde renames — textSignature/thinkingSignature/mimeType/thoughtSignature/tag="type" — match TS field names exactly), Usage/UsageCost/StopReason (cacheRead/cacheWrite/totalTokens/stopReason renames + camelCase StopReason match), UserMessage/AssistantMessage/ToolResultMessage/Message (role skip-and-reinject-via-parent-tag vs TS's flat discriminated union produce identical wire output; responseModel/responseId/errorMessage/toolCallId/toolName/isError renames all match), InputModality/ModelCost/Model (baseUrl/thinkingLevelMap/contextWindow/maxTokens renames match). No wire-field divergence found anywhere in scope. Non-wire, language-mechanics-only differences (not divergences): (1) Provider is `#[serde(transparent)] struct Provider(String)` in oracle (no enum) vs TS's KnownProvider|string union — oracle's own comment: "Free-form string; the TS side enumerates the canonical set... but treats everything as opaque," self-acknowledged non-issue; (2) StreamOptions/SimpleStreamOptions/Context/AssistantMessageEvent carry no #[derive(Serialize)] in oracle at all (pure in-process Rust value types, e.g. StreamOptions omits onPayload/onResponse callbacks which have no Rust equivalent, SimpleStreamOptions nests `base: StreamOptions` instead of TS's `extends` due to Rust lacking interface extension) — not wire types, no serde attributes to diff against.
