unit_id	verdict	evidence
coding-agent/tools/write	applied	message format aligned to oracle write.rs:48-53 "Wrote {bytes} bytes ({lines} lines) to {path}" (was "Successfully wrote N bytes to path"); bytes=Buffer.byteLength(UTF-8), not JS .length; lines=Rust str::lines() count semantics; mkdir failures swallowed (write.rs:39-42, was propagated); write errors wrapped "write {path}: {msg}" (write.rs:44-46); tool description + path/content param descriptions aligned verbatim to write.rs:63-64,68-69. Tests: tools.test.ts write-tool block (6 tests, incl. multi-byte + line-count + mkdir-swallow cases).
coding-agent/tools/edit	none	oracle edit.rs self-disclaims ("Models edit.ts at a simplified level"): single old_string/new_string/replace_all params + raw substring counting vs base edits[] batch (fuzzy-match, BOM/CRLF, overlap detection, unified diff via edit-diff.ts). Not 1:1 mappable without gutting shared edit-diff.ts (out of minimal-overlay/no-scope-expansion mandate). TODO(port) comment added at top of edit.ts documenting confirmed gap: replace_all has no analog — N identical {oldText,newText} edits still throw "Found N occurrences" (each checked against original content) instead of replacing all N. Regression test added documenting current (gap) behavior. No functional code changed.
coding-agent/tools/ls	applied	sort changed case-insensitive locale (localeCompare) -> case-sensitive ordinal (matches Rust String::cmp, ls.rs:62; e.g. "Banana" < "apple"); executionMode:"parallel" added (ls.rs:28-30) — currently a no-op since TS already treats unset executionMode as parallel-eligible (agent-loop.ts executionMode==="sequential" gate), added to document intent. NOT applied (base redesign superset kept): per-entry byte-size annotation, 2-space indent, "{path} (N entries)" header line, "(empty directory)" text, truncation-notice wording, staged exists/isDirectory error messages, skip-unstattable-entries behavior — oracle header scopes its "Mirrors ls.ts" claim to sort+dir-suffix+dotfiles+no-recursion only. Observed but out-of-scope: DEFAULT_MAX_BYTES 256KiB (truncate.rs) vs 50KB (truncate.ts, owned by another agent). Tests: tools.test.ts ls-tool block (+2 tests: case-sensitive sort order, executionMode).
coding-agent/tools/truncate	applied	DEFAULT_MAX_BYTES 50*1024->256*1024 (truncate.rs:5) — this file is the real byte-cap authority shared by bash/read/ls/grep/find via its exports (ls unit above had already flagged the mismatch as out-of-scope for itself); doc comments (top-of-file, TruncationOptions) corrected 50KB->256KiB. Added formatTruncationNote() mirroring oracle Truncation::note() (truncate.rs:16-26), exact text "[truncated: kept K/N lines, X of Y bytes]" — not wired into read.ts (no oracle counterpart there, see next row) but available for bash.ts's own unit. NOT applied (TODO(port) inline in truncateHead): oracle's truncate_head never breaks its scan — a line that overflows the byte budget is skipped, not a stop point, so a later shorter line can still be appended (non-contiguous kept set); this impl breaks at the first non-fitting line (always a contiguous prefix) — no test evidence requires the gap, and matching it would touch every truncateHead consumer (grep/find/ls/read, none in scope this phase). Line-count-via-split("\n") architecture (totalLines off-by-one vs oracle's split_inclusive on trailing-newline content; last kept line loses its reconstructed trailing "\n") is a pre-existing, already-accepted base convention (see bash-tool truncation test comments in tools.test.ts) — reviewed, not re-litigated. Fixed tools.test.ts's stale 50KB-sized read-tool byte-limit fixture to exceed 256KiB (1500 lines x300 chars, was 500x200). Tests: test/truncate.test.ts (8 new: DEFAULT_MAX_LINES/DEFAULT_MAX_BYTES values, 3 oracle unit tests ported, UTF-8 surrogate-pair boundary regression on truncateStringToBytesFromEnd, formatTruncationNote x2).
coding-agent/tools/read	applied	Oracle read.rs self-disclaims scope ("Simpler than the TS version... no image attachments, no compact-resource classification, no per-extension truncation") — base's superset features (images, AGENTS.md/CLAUDE.md/SKILL.md/docs compact rendering, offset-OOB throw with "Offset N is beyond end of file" message, "[Showing lines...]"/"[N more lines...]" continuation UX, schema wording) reviewed and confirmed as genuine pi-only additions with no contradicting oracle behavior — left as-is (verdict none for those aspects; existing tests at tools.test.ts:149-156 already lock in the throw-on-OOB behavior, not in the BUG(port) ledger so not treated as a tracked bug-to-replicate). Applied: text-content branch now validates UTF-8 explicitly via `new TextDecoder("utf-8",{fatal:true})` before treating the buffer as text, throwing "read {path}: stream did not contain valid UTF-8" (read.rs:51-53 — oracle's tokio::fs::read_to_string errors on invalid UTF-8; Node's Buffer#toString("utf-8") previously silently substituted U+FFFD instead of erroring, so non-image binary files were readable as mangled text). DEFAULT_MAX_BYTES 256KiB inherited automatically from the truncate.ts fix above (no code change needed here — schema description and byte-limit message already interpolate the constant). Tests: tools.test.ts read-tool block (+1 test: binary/non-UTF8 content now throws the oracle-parity error; existing byte-limit fixture resized per truncate.ts row above).
coding-agent/tools/bash	applied	stdout/stderr no longer merged into one accumulator -- captured and tail-truncated independently (bash.rs:79-89, two separate truncate_tail calls; TS uses truncateTail from truncate.ts twice); result text now "$ command\n[stdout note]\nstdout\n[stderr]\nstderr\n[exit N]" (bash.rs:90-108). Biggest divergence: non-zero exit/timeout/cancellation no longer throw -- execute() only rejects on a genuine spawn failure, matching oracle's Ok()-unless-spawn-fails semantics and wire-level isError:false (bash.rs:64-120 + agent_loop.rs:813-830, mirrored by agent-loop.ts:863-887); base previously threw on exit!=0/timeout/abort, turning every failed/timed-out/aborted command into a protocol-level tool error the model would see as isError:true. details now carries command/exitCode/isError (oracle's json! keys, camelCase since bash.rs's details are already camelCase) plus additive per-stream truncation + temp-file-spillover fields (no oracle counterpart; appended after the oracle-shaped text so the core shape stays comparable). BashOperations.exec's onData gained an optional stream tag (backward compatible -- default-to-stdout fallback for custom operations, e.g. ssh.ts/sandbox example extensions, that don't tag). Schema: command/timeout param descriptions aligned to oracle wording; tool description rewritten around actual behavior (truncation counts, exit code, timeout/cancel kill-tree semantics). NOT changed (pre-existing base architecture, out of diff-port scope): shell selection (getShellConfig bash-preferred-with-sh-fallback vs oracle's literal `sh -c`) and cwd as an explicit per-call param vs oracle's inherited-process-cwd. No background-bash concept on either side. Tests: tools.test.ts bash-tool block rewritten (isError:false assertions, stdout/stderr section-order test, truncation+spillover test) + 5 new oracle-parity tests ported from bash.rs's #[tokio::test] suite (timeout kills child, timeout kills descendants, cancellation kills child, high-volume stderr no-deadlock, concurrent invocations don't serialize) -- all green.
coding-agent/tools/grep	applied	Oracle grep.rs self-disclaims scope ("Models grep.ts at a simplified level: no thread pool, no ripgrep delegation") -- base's ripgrep-backed architecture (JSON streaming, --hidden, glob via --glob, context lines, literal/fixed-strings mode) kept as-is, no oracle equivalent to conflict with. Param naming (ignoreCase vs oracle's case_insensitive; base's extra literal/context/glob params) kept pi's established camelCase convention -- documented decision, base file's existing shape governs. Applied: DEFAULT_LIMIT 100->200 (grep.rs:16 DEFAULT_MAX_MATCHES); every result now leads with a "grep: {N} hits" header line verbatim (grep.rs:127); zero-match case changed from the special string "No matches found" to the same "grep: 0 hits" (oracle has no zero-match special case). NOT applied: oracle's silent DEFAULT_MAX_FILES=5000 walked-file cap (grep.rs:17,83-98) -- infeasible to replicate faithfully via ripgrep (empirically verified: rg --json only emits begin/end for files with >=1 match, while oracle counts every walked file before match-checking); would require abandoning ripgrep for a hand walker, cost disproportionate to a rarely-hit safety valve -- documented gap. details shape (oracle: matches/truncated_lines/max_match_line_chars, snake_case, logs-only) not mirrored -- kept pi's richer {truncation,matchLimitReached,linesTruncated}, which serves 3 orthogonal truncation concerns (incl. a byte cap oracle has none of). Tests: tools.test.ts grep-tool block (+3: "grep: N hits" header assertions on 2 existing tests, zero-hit text updated, new DEFAULT_LIMIT=200 schema-text assertion) -- all green.
coding-agent/tools/find	applied	Oracle find.rs self-disclaims scope ("Models find.ts at a simplified level") -- base's fd-backed architecture (--full-path handling for path-glob patterns per issue #3302, hierarchical .gitignore via --no-require-git per issue #3303, custom glob() hook) kept as-is. Param naming (pattern vs oracle's "glob") kept pi's established convention (grep+find both use "pattern" for cross-tool symmetry) -- documented decision. Applied: DEFAULT_LIMIT 1000->200 (find.rs:13); unified the two previously-duplicated formatting code paths (custom-glob-ops branch + default fd branch) into one buildFindResultText() helper producing oracle's exact header/trailer: "find {pattern}: {N} hits\n" or "find {pattern}: showing first {N} hits (limit reached)\n" (find.rs:98-104) plus oracle's exact trailer "... results truncated; rerun with a narrower glob/path or a higher limit if needed" (find.rs:111) when the count cap is hit; zero-match "No files found matching pattern" replaced with "find {pattern}: 0 hits" (oracle has no zero-match special case). NOT applied: resultLimitReached uses a ">=" heuristic (pre-existing base fd --max-results-capped approximation) vs oracle's precise "walker had a next entry beyond the cap" check (find.rs:80-83) -- pi's fd/glob(limit) backends can't structurally distinguish "exactly N total" from "capped at N" without over-fetching N+1; narrow exact-boundary false-positive, documented gap. details shape (oracle: paths/limit/stopped_at_limit) not mirrored, same rationale as grep. Updated 2 pre-existing regression tests (issue 3302, 3303) whose runFind() helpers parsed raw output lines -- now skip the new header/trailer lines. Tests: tools.test.ts find-tool block (+1 test asserting both non-limited and limit-reached header/trailer text verbatim) + zero-match text updated; both find regression suites re-verified green.
coding-agent/tools/git	applied	Full port of git.rs -- oracle has no #[cfg(test)] module to translate. New file packages/coding-agent/src/tools/git.ts per manifest's curated out_path (sibling to, not inside, core/tools/) -- deliberately NOT wired into core/tools/index.ts's ToolName registry or the top-level src/index.ts barrel, since no other pie-only tool (memory/task/skill-family/mcp_adapter/web-family) is wired into that registry yet either; this unit delivers the standalone, tested module only. Preserved bug-for-bug: (1) cancellation abandons the wait via Promise.race WITHOUT killing the child (git.rs:83-89 has no kill_on_drop/killpg, unlike bash.rs) -- the git process keeps running in the background after a cancelled tool call, verified via a slow-script gitPath + marker-file test; (2) the header's "cwd=" echoes the raw cwd param as given, defaulting the DISPLAY to "." even though the child actually inherits the process's own cwd when cwd is omitted (git.rs:105, cwd.as_deref().unwrap_or(".")) -- display, not the resolved directory; (3) details.exit_status kept as oracle's literal snake_case key (git.rs:113-118 json! literal, not camelCased like bash.rs's details) since this is a pure port with no base convention to inherit, and details is logs/UI-only, never sent to the model; (4) a local byte-boundary-safe 64KiB truncate() (git.rs:148-157) implemented independently of the shared truncate.ts module, matching oracle's own choice not to reuse its shared Rust truncate.rs (git's cap/semantics are unrelated to the other tools' shared default). Schema: additionalProperties:false + subcommand enum (status/diff/log) via Type.Union([Type.Literal...]); description string copied verbatim (git.rs:162-163). Defensive runtime re-validation of subcommand (missing/unsupported) kept even though the TS schema's enum already constrains it, matching oracle's own belt-and-suspenders check. Tests: new test/git-tool.test.ts (14 tests: schema shape, all 3 subcommands' default argv + header/body format, extra-args passthrough, non-zero-exit formatting, unsupported/missing-subcommand errors, cwd-display-vs-resolution split, 64KiB UTF-8-boundary truncation, cancellation-doesn't-kill-child, pre-aborted-signal, spawn failure) -- all green.
coding-agent/tools/install_skill	port	Full port of install_skill.rs (1463 lines) -> packages/coding-agent/src/tools/install-skill.ts. Target dir redesigned: oracle hardcodes ~/.pie/skills/<name>/SKILL.md; ported to pi getAgentDir()+"/skills" (the dir ../core/skills.ts already scans as "user" scope) since a literal ~/.pie path is invisible to pi own skill loader -- PIE_DIR env override subsumed by getAgentDir()/PI_CODING_AGENT_DIR. Two-phase confirm flow, SSRF guard (loopback/RFC1918/link-local/.localhost, IPv4+IPv6 fc00::/7), 16MiB OOM stream guard, 15s timeout, 5-redirect cap via manual redirect loop (native fetch has no redirect-count option), SHA256 idempotent-overwrite detection, atomic tempfile+rename write all ported verbatim. NOT wired: oracle hot-reloads a live AgentHarness singleton + appends a persistent skill_install session audit entry; ToolDefinition.execute ExtensionContext exposes only a read-only sessionManager with no append hook and no harness singleton exists at this layer -- reload is approximated by a stateless reloadSkillCatalog() snapshot recompute (populates tool-result fields only, does not mutate a live session); audit_entry_id is always undefined (TODO(port) inline). permissionClassification hostile-source-type fallback branch ("<unknown source>") is unreachable in production since pi agent-loop validates args against the typebox schema before calling permissionClassification (oracle classifies pre-deserialization); function kept 1:1 and tested via an as-cast, matching how oracle own test bypasses normal deserialization too. Tests: test/install-skill.test.ts, 24 cases ported from install_skill.rs #[cfg(test)] (schema shape, preview/confirm/overwrite flow, SSRF host table, large-body no-cap, missing/oversized description fallback+warning, permission-reason whitelist, audit url redaction, atomic-write no-tmp-artifact); install_writes_skill_install_audit_entry intentionally not ported (no audit sink to assert against, documented in test file header).
