id	site	divergence	rationale	revisit
ED1	packages/ai/src/providers/openai-responses-shared.ts function_call item	the TypeScript side keeps the skeleton's id field, which upstream has no equivalent for	[resolved 2026-08-04: aligned with upstream, this row is void] The original reason given was that upstream's scenarios do not cover replaying a history containing tools; S9 through S12 in phase 19 cover exactly that, so the premise was disproved. The decision was to align with upstream rather than declare a divergence, because upstream never attaches an id to function_call anywhere — including the codex path, whose convert_messages passes replay_reasoning=false and therefore replays no reasoning at all, so the supposed "codex pairing check" is not an upstream surface. The skeleton's own end-to-end tests already run without the id	resolved by aligning; no successor D entry
ED2	the function_call_output item	the TypeScript side keeps the ability to carry an image array, where upstream discards tool-result images	a real vision-provider feature of the skeleton, pinned by tool-result-images.test	revisit in phase 17
ED3	RFC3339 output in cron.ts	nanosecond precision, up to nine digits in chrono, is unreachable on the JS platform, where milliseconds and three digits are the limit	a platform limit; omitting the fraction on whole seconds already matches AutoSi	permanent (also recorded in unverified.md)
ED4	packages/mcp/src/client.ts asU64	the JSON id literals 1.0 and 1 are indistinguishable after JSON.parse, so serde's Float and U64 distinction is unreachable	a JS platform limit; upstream routing 1.0 to the notification branch cannot be reproduced	permanent
ED5	packages/ai/src/utils/json-parse.ts	the TypeScript side keeps the skeleton's repairJson — escaping control characters, repairing invalid escape sequences, and several fallback levels that never throw. Upstream's utils/json_parse.rs:29-71 has none of that, and its parse_partial_json can fail, in which case the argument map is simply not updated	BUG-scope rule: not observable by the judge, since triggering it needs a real LLM streaming a tool call with multi-line or backslash arguments, which the fixtures never produce. Reproducing upstream would mean deliberately removing the ability to parse tool call arguments	revisit in phase 17
ED6	packages/ai/src/utils/node-http-proxy.ts	the TypeScript side implements NO_PROXY — exact, wildcard, suffix and port-range matching — and raises explicitly on an unsupported proxy protocol. Upstream's node_http_proxy.rs:10-16 never reads NO_PROXY at all and silently ignores an invalid proxy URL	promoted to declared divergence D11 (intentional-divergences.md); the phase 20-1 review confirmed that upstream's module comment contradicts its own implementation	closed
ED7	the scope of packages/ai/src/utils/node-http-proxy.ts	upstream applies its proxy logic to all nine providers through build_client; the proxy agent here is currently wired only into amazon-bedrock.ts	BUG-scope: not observable by the judge, but a real difference in scope. It can be aligned when the phase 13 CLI assembly introduces a global fetch layer	revisit in phase 17 (ahead of ED5 and ED6)
ED8	packages/ai/src/utils/validation.ts	the TypeScript side keeps the skeleton's typebox validation of tool arguments, with coercion and per-field errors, called from the agent loop. Upstream's validation.rs:22-27 is a stub that always returns true and is called nowhere	BUG-scope: not observable by the judge, since it needs a malformed LLM tool call. Reproducing upstream would mean deleting a safety net that runs before execution	revisit in phase 17
ED9	packages/ai/src/providers/register-builtins.ts	the faux provider is not registered here; upstream's production binary registers api="faux" through the all-providers feature, although every reference to faux.rs sits under #[cfg(test)], which suggests a leak from the build configuration	BUG-scope: not observable by the judge — the 32 providers listed by --help exclude faux on both sides. The argument is filed alongside batch B and AI-1a	revisit in phase 17
ED10	packages/ai/src/types.ts AssistantMessage.content	the TypeScript types have no ImageContent; upstream's ContentBlock has an Image variant that anthropic.rs:730-742 encodes on replay	a dormant difference: no provider on either side currently constructs that variant	revisit in phase 17
