fn_name	evidence_kind	evidence	anchor
agent/src/agent.rs::abort@159	existing-test	packages/agent/test/agent.test.ts:242	expect(receivedSignal?.aborted).toBe(true);
agent/src/agent.rs::continue_@182	existing-test	packages/agent/test/agent.test.ts:378	await expect(agent.continue()).rejects.toThrow(
agent/src/agent.rs::convert_to_llm@207	not-portable	Structural difference: upstream's convert_to_llm is a method on Agent. Here the optional hook AgentOptions.convertToLlm carries it, and the default implementation defaultConvertToLlm at packages/agent/src/agent.ts:33 is **module-private** (applied at agent.ts:223 as `options.convertToLlm ?? defaultConvertToLlm`), so there is no entry point on the public surface.	
agent/src/agent.rs::drain@90	new-test	packages/agent/test/ported/batch-c.test.ts:90	expect(agent.hasQueuedMessages()).toBe(false);
agent/src/agent.rs::enqueue@86	new-test	packages/agent/test/ported/batch-c.test.ts:72	expect(agent.hasQueuedMessages()).toBe(true);
agent/src/agent.rs::enqueue_follow_up@154	not-portable	Named differently here: upstream's enqueue_follow_up is Agent.followUp(message) (agent.ts:290). Nothing is missing, the name differs; the queue implementation is shared with enqueue (agent.ts:141), and the behavioral evidence is on that row.	
agent/src/agent.rs::has_items@104	new-test	packages/agent/test/ported/batch-c.test.ts:32	expect([agent.state.isStreaming, agent.hasQueuedMessages()])
agent/src/agent.rs::is_streaming@146	existing-test	packages/coding-agent/test/ui/kernel.test.ts:234	expect(kernel.isStreaming()).toBe(false);
agent/src/agent.rs::new@79	new-test	packages/agent/test/ported/batch-c.test.ts:26	expect(new Agent().state.messages).toEqual([]);
agent/src/agent.rs::prompt@171	existing-test	packages/agent/test/ported/agent-loop.test.ts:54	expect(events[0]).toBe("agent_start");
agent/src/agent.rs::state@142	new-test	packages/agent/test/ported/batch-c.test.ts:52	expect(Object.keys(new Agent().state)).toEqual(expect.arrayC
agent/src/agent.rs::subscribe@130	existing-test	packages/agent/test/ported/agent-loop.test.ts:54	expect(events[0]).toBe("agent_start");
agent/src/harness/agent_harness.rs::continue_@1732	existing-test	packages/agent/test/harness/agent-harness.test.ts:1414	expect(response.content).toEqual([{ type: "text", text: "con
agent/src/harness/agent_harness.rs::evaluate@560	existing-test	packages/agent/test/ported/harness-e2e.test.ts:2529	expect(policy.evaluate("bash", args).type).toBe("deny");
agent/src/harness/agent_harness.rs::force_compact@1946	not-portable	No implementation of that name here: forceCompact has no hits under packages. Forced compaction goes through a direct call to compact(preparation, model, key) (compaction.ts), with no wrapper on the harness.	
agent/src/harness/agent_harness.rs::move_to@1616	existing-test	packages/agent/test/ported/session-storage.test.ts:92	expect(await reopened.getLeafId()).toBe(idC);
agent/src/harness/agent_harness.rs::prompt@1684	existing-test	packages/agent/test/harness/agent-harness-stream.test.ts:70	expect(capturedOptions).toMatchObject({
agent/src/harness/agent_harness.rs::prompt_from_template@1662	existing-test	packages/agent/test/ported/harness-e2e.test.ts:318	expect(hasInterpolated, `expected interpolated user message;
agent/src/harness/agent_harness.rs::prompt_with_images@1695	not-portable	No such implementation here: `promptWithImages` has no hits anywhere under packages/*/src; the only occurrence of the name is a string inside a mock in ui-retry-prompt.test.ts. Image input goes through prompt's attachments parameter, with no separate entry point. This is a real capability gap, not a naming difference.	
agent/src/harness/agent_harness.rs::rehydrate_from_session@1639	existing-test	packages/agent/test/ported/harness-e2e.test.ts:340	expect(ctx.thinkingLevel).toBe("high");
agent/src/harness/agent_harness.rs::reload_skills_from_disk@1538	existing-test	packages/agent/test/ported/harness-e2e.test.ts:2581	expect(result.skills).toHaveLength(2);
agent/src/harness/agent_harness.rs::run_evaluator@1974	existing-test	packages/agent/test/harness/agent-harness.test.ts:1454	expect(capturedToolCount).toBe(0);
agent/src/harness/agent_harness.rs::set_compaction_settings@1566	not-portable	Present here, but with no separate test surface: setCompactionSettings (agent-harness.ts:1954) only stores the settings on the harness, and every effect of it is observed through shouldCompact and compact, which each already have evidence. A test written for it alone could only assert that what went in comes back out — a tautology — so this is recorded as not portable rather than padded.	
agent/src/harness/agent_harness.rs::set_model@1593	existing-test	packages/agent/test/ported/harness-e2e.test.ts:295	expect(entries.some((e) => e.type === "model_change" && e.mo
agent/src/harness/agent_harness.rs::set_thinking_level@1601	existing-test	packages/agent/test/harness/agent-harness.test.ts:422	expect(captured).toEqual([
agent/src/harness/compaction/compaction.rs::compact@635	existing-test	packages/agent/test/harness/compaction.test.ts:285	expect(result.summary).toBe("");
agent/src/harness/compaction/compaction.rs::estimate_context_tokens@166	existing-test	packages/agent/test/harness/compaction.test.ts:358	expect(estimateContextTokens([createUserMessage("no usage")]
agent/src/harness/compaction/compaction.rs::find_cut_point@246	existing-test	packages/agent/test/harness/compaction.test.ts:198	expect(findCutPoint([thinking, modelChange], 0, 2, 1)).toEqual({
agent/src/harness/compaction/compaction.rs::generate_summary@506	existing-test	packages/agent/test/harness/compaction.test.ts:693	expect(fauxCalls).toBe(1);
agent/src/harness/compaction/compaction.rs::should_compact@192	existing-test	packages/agent/test/harness/compaction.test.ts:170	expect(shouldCompact(80001, 100000, settings)).toBe(true);
agent/src/harness/cost.rs::new@43	existing-test	packages/agent/test/harness/cost.test.ts:27	expect(snapshot.tokens.input).toBe(200);
agent/src/harness/cost.rs::record@60	existing-test	packages/agent/test/harness/cost.test.ts:27	expect(snapshot.tokens.input).toBe(200);
agent/src/harness/cost.rs::reset@54	existing-test	packages/agent/test/harness/cost.test.ts:40	expect(tracker.snapshot().tokens.input).toBe(0);
agent/src/harness/cost.rs::snapshot@49	existing-test	packages/agent/test/harness/cost.test.ts:27	expect(snapshot.tokens.input).toBe(200);
agent/src/harness/cost.rs::total_cost@25	existing-test	packages/agent/test/harness/cost.test.ts:31	expect(totalCost(snapshot)).toBeCloseTo(0.0033, 9);
agent/src/harness/env/native.rs::current@31	not-portable	Named differently here: upstream's NativeEnv::current is the public cwd field on NodeExecutionEnv (nodejs.ts:215), not a method. Its behavioral evidence is the NodeExecutionEnv constructor case in the phase 3 calibration batch, where the cwd is remembered and relative paths are anchored to it.	
agent/src/harness/env/native.rs::new@27	new-test	packages/agent/test/ported/calibration-batch.test.ts:68	expect(env.cwd).toBe(dir);
agent/src/harness/notification_hook.rs::pending@135	new-test	packages/agent/test/ported/batch-c.test.ts:147	expect(notificationHookStatusPending().state).toEqual({ kind
agent/src/harness/permission.rs::default_for_coding_agent@78	existing-test	packages/agent/test/harness/permission.test.ts:21	expect(decision.type, `false positive on ${JSON.stringify(cm
agent/src/harness/permission.rs::evaluate@101	existing-test	packages/agent/test/harness/permission.test.ts:21	expect(decision.type, `false positive on ${JSON.stringify(cm
agent/src/harness/prompt_templates.rs::interpolate@36	existing-test	packages/agent/test/harness/prompt-templates.test.ts:154	expect(PromptTemplateRegistry.interpolate(template, { who: "
agent/src/harness/prompt_templates.rs::new@23	existing-test	packages/agent/test/harness/prompt-templates.test.ts:168	expect(registry.list()).toEqual([a, b]);
agent/src/harness/session/jsonl_repo.rs::create@30	existing-test	packages/coding-agent/test/session-dir-purity.test.ts:95	
agent/src/harness/session/jsonl_repo.rs::delete@74	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:203	
agent/src/harness/session/jsonl_repo.rs::list@56	existing-test	packages/agent/test/ported/session-storage.test.ts:60	expect(files).toHaveLength(1);
agent/src/harness/session/jsonl_repo.rs::open@42	existing-test	packages/agent/test/harness/repo.test.ts:17	expect(await repo.open(metadata)).toBe(session);
agent/src/harness/session/jsonl_storage.rs::create@29	existing-test	packages/coding-agent/test/session-dir-purity.test.ts:94	
agent/src/harness/session/jsonl_storage.rs::open@69	existing-test	packages/agent/test/harness/storage.test.ts:154	await expect(JsonlSessionStorage.open(env, filePath)).reject
agent/src/harness/session/memory_repo.rs::create@24	existing-test	packages/agent/test/harness/repo.test.ts:18	expect((await repo.list()).map((info) => info.id)).toEqual([
agent/src/harness/session/memory_repo.rs::delete_by_id@39	existing-test	packages/agent/test/harness/repo.test.ts:24	await expect(repo.open(metadata)).rejects.toThrow("Session n
agent/src/harness/session/repo_utils.rs::create_session_id@11	new-test	packages/coding-agent/test/ported/batch-a.test.ts:26	expect(createSessionId()).toMatch(/^[0-9a-f]{8}-[0-9a-f]{4}-
agent/src/harness/session/repo_utils.rs::create_timestamp@15	new-test	packages/coding-agent/test/ported/batch-a.test.ts:43	expect(createTimestamp()).toMatch(/^\d{4}-\d{2}-\d{2}T\d{2}:
agent/src/harness/session/repo_utils.rs::get_entries_to_fork@38	existing-test	packages/agent/test/harness/repo-utils.test.ts:42	expect(entries.map((entry) => entry.id)).toEqual(["root", "c
agent/src/harness/session/session.rs::append_compaction@484	existing-test	packages/agent/test/harness/session.test.ts:66	expect(context.messages[0]?.role).toBe("compactionSummary");
agent/src/harness/session/session.rs::append_custom@507	existing-test	packages/coding-agent/test/session-manager/tree-traversal.test.ts:118	expect(customEntry).toBeDefined();
